
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//						HEROES
//
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////

///////////////////////////////////////////////////////
// Aeronaut
///////////////////////////////////////////////////////

	"npc_dota_hero_shredder"    "Aeronaut"
	"DOTA_Tooltip_ability_baal_compression_sphere_Description"    "Creates an area in which Baal's allies can move freely, but his enemies are slowed the longer they remain within it. Applies a stacking slow to turnrate, movespeed and attackspeed over its duration. The slow is unique to the unit within it, and leaving the sphere will reset the stacks."
	"DOTA_Tooltip_ability_baal_compression_sphere_duration"    "DURATION:"
	"DOTA_Tooltip_ability_baal_compression_sphere_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_baal_compression_sphere_move_slow"    "%MOVEMENT SLOW:"
	"DOTA_Tooltip_ability_baal_compression_sphere_attack_slow"    "ATTACK SPEED SLOW:"
	"DOTA_Tooltip_ability_baal_compression_sphere_turn_slow"    "%TURNRATE SLOW:"
		"DOTA_Tooltip_modifier_compression_sphere_aura"    "Compression Sphere"
		"DOTA_Tooltip_modifier_compression_sphere_aura_description"    "Being affected by a %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movement slow, %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed slow, and %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE%%% turnrate slow."

	"DOTA_Tooltip_ability_baal_superposition2"    "Superposition"
	"DOTA_Tooltip_ability_baal_superposition2_description"    "Baal enters a state of instability for a short time, becoming untargetable, invisible, unrevealable and immune to Physical damage."
	"DOTA_Tooltip_ability_baal_superposition2_Note0"    "Disjoints projectiles upon use."
	"DOTA_Tooltip_ability_baal_superposition2_Note1"    "Gives Baal phased movement."
	"DOTA_Tooltip_ability_baal_superposition2_duration"    "DURATION:"
	"DOTA_Tooltip_ability_baal_superposition2_bonus_ms"    "%SPEED BONUS:"

	"DOTA_Tooltip_ability_baal_port_out"    "Port Out"
	"DOTA_Tooltip_ability_baal_port_out_description"    "Jumps to the Rift immediately."

///////////////////////////////////////////////////////
// Bahamut
///////////////////////////////////////////////////////

	"npc_dota_hero_terrorblade"    "Bahamut"
	"npc_dota_hero_terrorblade_bio"    ""
	"npc_dota_hero_terrorblade_hype"    "Possessing a good balance of Physical and Magical damage, Bahamut is a powerful mid-game Agility carry. Turn your enemies into a walking radiance with Desolation, increase the damage they take with Reckoning Aura, deal ever increasing Magical damage with Fulmination, and finish the fight with the obliterating Mega Flare."


	"DOTA_Tooltip_ability_special_bonus_bahamut_1"    "+25 Desolation DPS"

	"DOTA_Tooltip_ability_special_bonus_bahamut_2"    "Fulmination Stacks -1 Armor"

	"DOTA_Tooltip_ability_special_bonus_bahamut_3"    "+50% Mega Flare Damage"

	"DOTA_Tooltip_ability_special_bonus_bahamut_4"    "Desolation AoE Applies Fulmination Stacks"
	"DOTA_Tooltip_ability_special_bonus_bahamut_4_Description"    "Desolation's AoE ticks each apply 1 stack of Fulmination to all affected targets."

	"DOTA_Tooltip_ability_bahamut_desolation"    "Desolation"
	"DOTA_Tooltip_ability_bahamut_desolation_description"    "Forces elemental energies into the target enemy, dealing Magical damage and surrounding them with a burning aura that deals damage over time to nearby enemies. The main target has any Fulmination stacks it possesses detonated."
	"DOTA_Tooltip_ability_bahamut_desolation_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_bahamut_desolation_duration"    "DURATION:"
	"DOTA_Tooltip_ability_bahamut_desolation_dps"    "DAMAGE PER SECOND:"
		"DOTA_Tooltip_modifier_desolation"    "Desolation"
		"DOTA_Tooltip_modifier_desolation_description"    "Taking damage over time and dealing it to allies in an AoE."
		"DOTA_Tooltip_modifier_desolation_aura"    "Desolation"
		"DOTA_Tooltip_modifier_desolation_aura_description"    ""

	"DOTA_Tooltip_ability_bahamut_fulmination"    "Fulmination"
	"DOTA_Tooltip_ability_bahamut_fulmination_description"    "Each attack that Bahamut makes against his enemies begins to pull apart the strands of reality, reweaving them into explosive energies.  A short time after he stops attacking them, these energies detonate, dealing large damage based on the amount of stacks accumulated. The final detonation damage is equivalent to the number of stacks multiplied by the base damage, and is increased by a percentage per stack."
	"DOTA_Tooltip_ability_bahamut_fulmination_Note0"    "The bonus damage is linear. 8 stacks grants a 100% damage bonus."
	"DOTA_Tooltip_ability_bahamut_fulmination_damage"    "DAMAGE PER STACK:"
	"DOTA_Tooltip_ability_bahamut_fulmination_max_stacks"    "MAX STACKS:"
	"DOTA_Tooltip_ability_bahamut_fulmination_percent"    "%DAMAGE INCREASE PER STACK:"
	"DOTA_Tooltip_ability_bahamut_fulmination_time"    "DURATION:"

	"DOTA_Tooltip_ability_bahamut_reckoning_aura"    "Reckoning Aura"
	"DOTA_Tooltip_ability_bahamut_reckoning_aura_description"    "Bahamut's very presence causes nearby enemies to take more damage. Can be targeted on an enemy to double the effect for them alone."
	"DOTA_Tooltip_ability_bahamut_reckoning_aura_damage"    "%INCREASE:"
		"DOTA_Tooltip_modifier_reckoning_aura_buff"    "Reckoning Aura"
		"DOTA_Tooltip_modifier_reckoning_aura_buff_description"    "Taking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% more damage."
		"DOTA_Tooltip_modifier_reckoning_aura_power_up"    "Reckoning Aura Active"
		"DOTA_Tooltip_modifier_reckoning_aura_power_up_description"    "Taking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% more damage."

	"DOTA_Tooltip_ability_bahamut_hidden_transform"    "Hidden Transform"
	"DOTA_Tooltip_ability_bahamut_hidden_transform_description"    ""

	"DOTA_Tooltip_ability_bahamut_mega_flare"    "Mega Flare"
	"DOTA_Tooltip_ability_bahamut_mega_flare_description"    "Summons an orb of pure power that slowly travels towards the targeted point, detonating when it reaches it to deal massive Pure damage.  Enemies closer to the center of the explosion take more damage.  Has a minimum cast range."
	"DOTA_Tooltip_ability_bahamut_mega_flare_Note0"    "The minimum cast range is 475.  Targeting a point below this range will force the targeted point to be 475 units away from the caster, in the direction they cast it."
	"DOTA_Tooltip_ability_bahamut_mega_flare_damage_inner"    "DAMAGE (INNER):"
	"DOTA_Tooltip_ability_bahamut_mega_flare_radius_inner"    "RADIUS (INNER):"
	"DOTA_Tooltip_ability_bahamut_mega_flare_damage_outer"    "DAMAGE (OUTER):"
	"DOTA_Tooltip_ability_bahamut_mega_flare_radius_outer"    "RADIUS (OUTER):"

///////////////////////////////////////////////////////
// Balthasar
///////////////////////////////////////////////////////

	"npc_dota_hero_lycan"    "Balthasar"


	"DOTA_Tooltip_ability_special_bonus_balthasar_1"    "+1s Emerald Fang Duration"

	"DOTA_Tooltip_ability_special_bonus_balthasar_2"    "Doomflame Free Pathing"

	"DOTA_Tooltip_ability_special_bonus_balthasar_3"    "+350 Ward of the Emerald Flame Range"

	"DOTA_Tooltip_ability_special_bonus_balthasar_4"    "-8s Firebolt Cooldown"

	"DOTA_Tooltip_ability_balthasar_firebolt"    "Firebolt"
	"DOTA_Tooltip_ability_balthasar_firebolt_Description"    "Balthasar unleashes a blast of jade fire at his target, dealing damage and then damage over time."
	"DOTA_Tooltip_ability_balthasar_firebolt_base_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_balthasar_firebolt_duration"    "DURATION:"
	"DOTA_Tooltip_ability_balthasar_firebolt_dot"    "DAMAGE OVER TIME:"
		"DOTA_Tooltip_modifier_firebolt"    "Firebolt"
		"DOTA_Tooltip_modifier_firebolt_description"    "Taking damage over time."

	"DOTA_Tooltip_ability_balthasar_doomflame"    "Doomflame"
	"DOTA_Tooltip_ability_balthasar_doomflame_Description"    "With a howl, the Wolf summons a wave of fire that washes over the battlefield, leaving damaging ground in its wake. Balthasar may traverse this ground at extremely high speed, catching enemies that normally would escape him."
	"DOTA_Tooltip_ability_balthasar_doomflame_duration"    "DURATION:"
	"DOTA_Tooltip_ability_balthasar_doomflame_range"    "RANGE:"
	"DOTA_Tooltip_ability_balthasar_doomflame_radius"    "DAMAGE RADIUS:"
	"DOTA_Tooltip_ability_balthasar_doomflame_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_balthasar_doomflame_damage_over_time"    "DAMAGE OVER TIME:"
	"DOTA_Tooltip_ability_balthasar_doomflame_movespeed"    "MOVESPEED OVER GROUND:"
		"DOTA_Tooltip_modifier_doomflame_buff"    "Doomflame"
		"DOTA_Tooltip_modifier_doomflame_buff_description"    "Moving at 1000 movespeed."

	"DOTA_Tooltip_ability_balthasar_emerald_fang"    "Emerald Fang"
	"DOTA_Tooltip_ability_balthasar_emerald_fang_Description"    "Striking his enemies with a deadly fang, Balthasar deals Magical damage over time to enemies based on his attack damage. Ticks every 0.5s."
	"DOTA_Tooltip_ability_balthasar_emerald_fang_duration"    "DURATION:"
	"DOTA_Tooltip_ability_balthasar_emerald_fang_damage_over_time"    "%ATTACK DAMAGE:"
		"DOTA_Tooltip_modifier_emerald_fang"    "Emerald Fang"
		"DOTA_Tooltip_modifier_emerald_fang_description"    "Taking damage over time based on the user's attack damage."

	"DOTA_Tooltip_ability_balthasar_ward_of_the_emerald_flame"    "Ward Of The Emerald Flame"
	"DOTA_Tooltip_ability_balthasar_ward_of_the_emerald_flame_Description"    "Summons the Ward of the Emerald Flame to guard an area, granting Flying vision, dealing damage over time, and slowing enemies by a small amount. Any invisible unit that wanders under the Ward is revealed and receives the full slow amount."
	"DOTA_Tooltip_ability_balthasar_ward_of_the_emerald_flame_duration"    "DURATION:"
	"DOTA_Tooltip_ability_balthasar_ward_of_the_emerald_flame_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_balthasar_ward_of_the_emerald_flame_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_balthasar_ward_of_the_emerald_flame_slow"    "%INVISIBLE SLOW:"
	"DOTA_Tooltip_ability_balthasar_ward_of_the_emerald_flame_visible_slow"    "%SLOW:"
		"DOTA_Tooltip_modifier_ward_of_the_emerald_flame_buff"    "Ward of the Emerald Flame"
		"DOTA_Tooltip_modifier_ward_of_the_emerald_flame_buff_description"    "Taking damage over time and being revealed and slowed drastically if invisible."

///////////////////////////////////////////////////////
// Bloodwarrior
///////////////////////////////////////////////////////

	"npc_dota_hero_bloodseeker"    "Bloodwarrior"
	"npc_dota_hero_bloodseeker_bio"    ""
	"npc_dota_hero_bloodseeker_hype"    "A difficult to kill right-clicker with a wide subset of abilities. Able to shower enemies in blood to grant Lifesteal to his allies, slow and steal Strength from targets, strike with his vital force, and ingest his own blood to enter a maddened state for a short time."


	"DOTA_Tooltip_ability_special_bonus_bloodwarrior_1"    "+4s Blood Rain Duration"

	"DOTA_Tooltip_ability_special_bonus_bloodwarrior_2"    "+5% Soul Claw Damage"

	"DOTA_Tooltip_ability_special_bonus_bloodwarrior_3"    "+15 Red Curse Strength Drain"

	"DOTA_Tooltip_ability_special_bonus_bloodwarrior_4"    "+80 Blood Madness Damage"

	"DOTA_Tooltip_ability_bloodwarrior_blood_rain"    "Blood Rain"
	"DOTA_Tooltip_ability_bloodwarrior_blood_rain_Description"    "Global cast range. Bloodwarrior creates an area where blood rains from the skies, drenching enemies in sanguine fluid. The area damages enemies, and continuously applies a debuff that slows them and causes attacks to Lifesteal against them."
	"DOTA_Tooltip_ability_bloodwarrior_blood_rain_duration"    "DEBUFF DURATION:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_rain_rain_duration"    "RAIN DURATION:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_rain_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_rain_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_rain_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_rain_lifesteal"    "%LIFESTEAL:"
		"DOTA_Tooltip_modifier_blood_rain"    "Blood Rain"
		"DOTA_Tooltip_modifier_blood_rain_description"    "Granting Lifesteal to enemies that attack you, and being slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

	"DOTA_Tooltip_ability_bloodwarrior_red_curse"    "Red Curse"
	"DOTA_Tooltip_ability_bloodwarrior_red_curse_Description"    "Bloodwarrior transfers his blood curse to the target enemy for a long duration. Steals Strength, slows, and reduces attack damage. The debuff gradually increases to its maximum strength, reaching 100%% of its reductions at half its duration. Killing a creep immediately dispels the debuff."
	"DOTA_Tooltip_ability_bloodwarrior_red_curse_duration"    "DURATION:"
	"DOTA_Tooltip_ability_bloodwarrior_red_curse_damage_reduction"    "%MAX DAMAGE REDUCTION:"
	"DOTA_Tooltip_ability_bloodwarrior_red_curse_str_drain"    "MAX STRENGTH DRAIN:"
	"DOTA_Tooltip_ability_bloodwarrior_red_curse_slow"    "%MAX SLOW:"
		"DOTA_Tooltip_modifier_red_curse"    "Red Curse"
		"DOTA_Tooltip_modifier_red_curse_description"    "Gradually losing Strength, attack damage and movespeed. At half its duration, this buff reaches its maximum power. Killing a unit will purge the buff."
		"DOTA_Tooltip_modifier_red_curse_caster"    "Red Curse"
		"DOTA_Tooltip_modifier_red_curse_caster_description"    "Gaining Strength as your enemy loses theirs."

	"DOTA_Tooltip_ability_bloodwarrior_soul_claw"    "Soul Claw"
	"DOTA_Tooltip_ability_bloodwarrior_soul_claw_Description"    "Occasionally, Bloodwarrior's strikes are imbued with his whorling vital energies, dealing bonus Magical damage, ministunning and preventing the target from regenerating Health for a short time. The bonus damage is based off his current Health."
	"DOTA_Tooltip_ability_bloodwarrior_soul_claw_duration"    "NO HEAL DURATION:"
	"DOTA_Tooltip_ability_bloodwarrior_soul_claw_ministun_duration"    "MINISTUN DURATION:"
	"DOTA_Tooltip_ability_bloodwarrior_soul_claw_hp_percent"    "%CURRENT HEALTH TO BONUS DAMAGE:"
	"DOTA_Tooltip_ability_bloodwarrior_soul_claw_chance"    "%CHANCE:"
	"DOTA_Tooltip_ability_bloodwarrior_soul_claw_internal_cooldown"    "INTERNAL COOLDOWN:"
		"DOTA_Tooltip_modifier_soul_claw_no_healing"    "Soul Claw"
		"DOTA_Tooltip_modifier_soul_claw_no_healing_description"    "Healing is prevented on this unit for a short time."

	"DOTA_Tooltip_ability_bloodwarrior_blood_madness"    "Blood Madness"
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_Description"    "The Bloodwarrior consumes a portion of his own vitality to convert it into pure, unbridled rage, granting him incredible fighting prowess for a short time. He gains bonus movespeed, attackspeed, damage, and Lifesteal. Killing an enemy Hero under Blood Madness' effects will grant him bonus Lifesteal and add a bonus to the duration of the ability."
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_duration"    "DURATION:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_health_removal"    "%SELF HEALTH REMOVAL:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_bonus_damage"    "BONUS DAMAGE:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_bonus_attack_speed"    "BONUS ATTACK SPEED:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_bonus_movespeed"    "%BONUS MOVEMENT SPEED:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_bonus_lifesteal"    "%LIFESTEAL:"
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_bonus_duration"    "BONUS DURATION (PER KILL):"
	"DOTA_Tooltip_ability_bloodwarrior_blood_madness_lifesteal_increase"    "%LIFESTEAL INCREASE (PER KILL):"
		"DOTA_Tooltip_modifier_blood_madness"    "Blood Madness"
		"DOTA_Tooltip_modifier_blood_madness_description"    ""

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_faceless_void"    ""
	"npc_dota_hero_faceless_void_hype"    "None"


	"DOTA_Tooltip_ability_special_bonus_chronos_1"    ""

	"DOTA_Tooltip_ability_special_bonus_chronos_2"    ""

	"DOTA_Tooltip_ability_special_bonus_chronos_3"    ""

	"DOTA_Tooltip_ability_special_bonus_chronos_4"    ""

	"DOTA_Tooltip_ability_chronos_continuum_crystal"    "Continuum Crystal"
	"DOTA_Tooltip_ability_chronos_continuum_crystal_description"    "Envelops the target unit in temporally suspended crystals, rendering them invulnerable and disabled for the duration, while recovering a percentage of their health and mana.  Volatile temporal energy leaks from the crystal, dealing damage and slowing in an AoE around them."
	"DOTA_Tooltip_ability_chronos_continuum_crystal_damage"    "DAMAGE PER SECOND:"
	"DOTA_Tooltip_ability_chronos_continuum_crystal_recovery"    "%HEALTH AND MANA RECOVERY:"
	"DOTA_Tooltip_ability_chronos_continuum_crystal_slow"    "%SLOW:"
	"DOTA_Tooltip_ability_chronos_continuum_crystal_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_chronos_continuum_crystal_duration"    "DURATION:"

///////////////////////////////////////////////////////
// 
///////////////////////////////////////////////////////

	"npc_dota_hero_lion"    ""
	"npc_dota_hero_lion_hype"    "None"


	"DOTA_Tooltip_ability_crimson_life_drain"    "Destruction Sphere"
	"DOTA_Tooltip_ability_crimson_life_drain_description"    "Summons a sphere that, after a short delay, explodes, dealing Magical damage based on the missing health of affected targets."
	"DOTA_Tooltip_ability_crimson_life_drain_Lore"    "A sphere of ruinous intent."
	"DOTA_Tooltip_ability_crimson_life_drain_increase"    "DAMAGE PER MISSING HEALTH:"
